,SB_BLACK_SPRUCE,SW_WHITE_SPRUCE,SR_RED_SPRUCE,PJ_JACK_PINE,PW_WHITE_PINE,PR_RED_PINE,BF_BALSAM_FIR,CE_WHITE_CEDAR,LA_TAMARACK,HE_EASTERN_HEMLOCK,CR_RED_CEDAR,EXOTIC_OTHER_CONIFERS,PO_ASPEN_GROUP,PB_PD_POPLAR_COTTONWOOD,BW_WHITE_BIRCH,BY_YELLOW_BIRCH,MH_HARD_MAPLE,MS_AG_SOFT_MAPLE,BE_BEECH,OAK_GROUP,ASH_GROUP,ELM_GROUP,HICKORY_WALNUT_GROUP,CHERRY_GROUP,BA_BASSWOOD,WILLOW_GROUP,ALDER_GROUP,CAROLINIAN_MINOR_HARDWOODS,UNDERSTORY_HARDWOODS_SHRUBS,UNCLASSIFIED_OTHER
SB_BLACK_SPRUCE,1.0000001,0.86490506,0.858938,0.7848754,0.8169523,0.7971386,0.86581475,0.77917975,0.87840515,0.80197275,0.70964336,0.8336073,0.78097117,0.7778437,0.8097296,0.81582516,0.8034146,0.8147863,0.8086625,0.78032464,0.8076435,0.7731203,0.7922121,0.8014077,0.81051636,0.76726866,0.80103326,0.7369302,0.7821949,0.77079093
SW_WHITE_SPRUCE,0.86490506,0.9999999,0.90361905,0.8066564,0.8780613,0.82095206,0.8568408,0.8119973,0.8177246,0.8086984,0.75503683,0.8422585,0.81411606,0.79816556,0.8397813,0.8294055,0.84981775,0.809548,0.8321591,0.8314088,0.82669336,0.8184873,0.84026384,0.8366274,0.8309109,0.77538884,0.76935875,0.7671608,0.7969068,0.7860924
SR_RED_SPRUCE,0.858938,0.90361905,1.0,0.79888815,0.80773515,0.8408766,0.8677779,0.7582083,0.79547167,0.8041623,0.80049425,0.8345939,0.77808934,0.7647364,0.78442323,0.82094467,0.80612564,0.8080472,0.8047093,0.7914355,0.7929431,0.78787696,0.7970738,0.82072496,0.8115943,0.7607325,0.75055254,0.77091265,0.801721,0.7886705
PJ_JACK_PINE,0.7848754,0.8066564,0.79888815,0.9999999,0.8390815,0.8770941,0.7932011,0.75064665,0.76850075,0.76808155,0.771326,0.8017208,0.8409884,0.7787092,0.83415544,0.7739297,0.7681505,0.7498252,0.7602691,0.8023536,0.803297,0.7502146,0.7792081,0.79305077,0.7598245,0.78155243,0.74154186,0.7594117,0.7522829,0.73863244
PW_WHITE_PINE,0.8169523,0.8780613,0.80773515,0.8390815,1.0,0.91516954,0.7965406,0.83782417,0.79718745,0.86898077,0.7639706,0.8164339,0.82457644,0.79917264,0.8228894,0.8324349,0.8579597,0.7895855,0.8595292,0.8652707,0.8199191,0.83642626,0.8173531,0.8060278,0.8441344,0.7582635,0.7670468,0.7575084,0.75885415,0.75893617
PR_RED_PINE,0.7971386,0.82095206,0.8408766,0.8770941,0.91516954,1.0,0.79991364,0.78303915,0.7755187,0.8278532,0.7996781,0.7885259,0.8201088,0.80773824,0.79082596,0.8272847,0.83342314,0.8022288,0.8269498,0.8737709,0.8277777,0.8196006,0.81241405,0.8170897,0.8189124,0.7776207,0.76186097,0.781571,0.7818432,0.7477994
BF_BALSAM_FIR,0.86581475,0.8568408,0.8677779,0.7932011,0.7965406,0.79991364,1.0,0.74767363,0.82523906,0.7952976,0.7252537,0.82879454,0.7813892,0.78079605,0.79560196,0.81564325,0.79458153,0.7876331,0.80402625,0.7846501,0.792024,0.77495337,0.78964007,0.7851528,0.8256587,0.76147664,0.78385556,0.7364227,0.81270665,0.7494796
CE_WHITE_CEDAR,0.77917975,0.8119973,0.7582083,0.75064665,0.83782417,0.78303915,0.74767363,0.9999998,0.7885796,0.80388707,0.80570656,0.74908864,0.7545039,0.7765911,0.755457,0.7849847,0.77027416,0.7498385,0.7736411,0.81003475,0.7687752,0.8237014,0.79129565,0.7764596,0.8140068,0.73911595,0.7498442,0.7487656,0.7304133,0.70856994
LA_TAMARACK,0.87840515,0.8177246,0.79547167,0.76850075,0.79718745,0.7755187,0.82523906,0.7885796,1.0000001,0.7789787,0.7202585,0.7932296,0.78320783,0.78819215,0.7994277,0.8157762,0.7744785,0.78447694,0.77152956,0.77935356,0.80383945,0.77241576,0.78175724,0.793624,0.8145063,0.7744536,0.79266524,0.73237157,0.75967085,0.7291542
HE_EASTERN_HEMLOCK,0.80197275,0.8086984,0.8041623,0.76808155,0.86898077,0.8278532,0.7952976,0.80388707,0.7789787,1.0000001,0.7585771,0.7736458,0.7954011,0.7877716,0.7934689,0.84403944,0.8347074,0.783889,0.8376293,0.8211476,0.78032106,0.8375616,0.82970667,0.8139794,0.84128684,0.7590745,0.7640201,0.7367094,0.7755438,0.74355483
