,SB,SW,SR,SN,SE,SS,PUN,SP,PJ,PW,PR,PS,PI,PC,PL,PM,PZ,PX,PF,PA,PN,BF,FB,FG,FL,FM,FS,CE,CW,CY,CR,LA,LE,LW,LS,HE,HW,HM,TA,TE,OC,PO,PL,PB,PD,PX,PA,BP,BW,BY,BT,BL,BM,BC,BUN,MH,MS,AG,MB,MN,MM,ST,MP,OR,OW,OB,OK,OP,OS,OC,OE,OX,OY,OL,AB,AW,AX,AH,AM,EA,ER,ES,EU,EX,HB,HS,HC,HG,WB,BU,CB,CP,CV,CD,CH,SA,SBW,SF,SH,SK,SL,SM,SNW,SO,AL,AGL,AR,AV,BE,BI,CA,BA,BD,IW,BLUE,SY,TU,HK,SAS,GYM,GLED,MAG,PT,NYS,HAM,RHO,ROB,RHA,RHF,SOR,SOU,SOE,EUG,AT,CRB,AP,APM,CORN,CORA,CORS,VIB,VIBL,CEPH,OH,U
SB,1.0,0.88209313,0.8972144,0.90724564,0.88622475,0.8840622,0.8855093,0.9246806,0.8551289,0.818938,0.8447511,0.8230954,0.83503354,0.8561225,0.8337182,0.74732023,0.8132887,0.8303773,0.8394634,0.8213266,0.8806237,0.8841602,0.8268263,0.8561509,0.85771763,0.8673504,0.8650009,0.73859054,0.7545725,0.7819026,0.75436515,0.84228164,0.7988272,0.77291745,0.79849243,0.81364137,0.809209,0.8102979,0.76948065,0.7808538,0.83687866,0.7746968,0.7406776,0.7825934,0.7421816,0.77879167,0.76417136,0.7610983,0.8050981,0.8012901,0.78943896,0.7976667,0.7685988,0.7651684,0.75914866,0.78239036,0.7935046,0.77961993,0.7734829,0.7769422,0.7898235,0.7640356,0.76737887,0.7505121,0.76754004,0.7384597,0.7510991,0.76121163,0.7257383,0.70615315,0.74872756,0.73881805,0.73598075,0.72549605,0.80087173,0.7437359,0.7400328,0.7486879,0.76123935,0.7343811,0.7078067,0.7448143,0.7194952,0.7340399,0.7503327,0.73668677,0.7356397,0.75246716,0.78284883,0.763662,0.80490255,0.7969887,0.7481112,0.75012034,0.72385395,0.77463335,0.751865,0.72774035,0.714944,0.7704536,0.73950994,0.7795508,0.73421586,0.7147043,0.76615244,0.75890213,0.7591573,0.74869084,0.7630246,0.7444992,0.74863106,0.7415793,0.71116364,0.7408438,0.7703693,0.7506711,0.74144477,0.7463182,0.70803523,0.7569839,0.7570343,0.7424334,0.7094209,0.754773,0.6918743,0.6944754,0.76733583,0.73204887,0.7276908,0.7596915,0.75271505,0.7205417,0.719665,0.72728044,0.71865183,0.7252835,0.7186848,0.7080301,0.73607105,0.7380252,0.7201832,0.69616205,0.7098049,0.8160814,0.7326757
SW,0.88209313,1.0000001,0.910433,0.9203774,0.88385725,0.8899385,0.8760328,0.9294573,0.8506861,0.8756923,0.8518415,0.83771205,0.8504051,0.85642004,0.84738094,0.7487911,0.82583445,0.88536525,0.8284908,0.8610428,0.8813278,0.8822439,0.84802324,0.8942145,0.857575,0.88662577,0.91988075,0.7754382,0.76195294,0.7807156,0.76848435,0.80468446,0.82053715,0.8016697,0.777316,0.836449,0.8266088,0.80361944,0.76155007,0.78298146,0.8471806,0.7965765,0.77549314,0.7682149,0.75210094,0.78880847,0.8243827,0.7504736,0.7871944,0.7975717,0.78250813,0.7637193,0.7596868,0.7621257,0.77605367,0.8006787,0.7769166,0.77663445,0.76436806,0.7741689,0.78171444,0.76940995,0.7731344,0.7598127,0.82892525,0.7429458,0.7286484,0.75396675,0.7637616,0.72246957,0.7397842,0.77725893,0.75610584,0.7358676,0.7587882,0.80538887,0.7769745,0.74717194,0.77973413,0.75257707,0.7204217,0.75598824,0.7320012,0.7845969,0.7503798,0.73970425,0.7384086,0.7723505,0.76054907,0.77410126,0.75929874,0.7910132,0.73428726,0.74514294,0.7480948,0.7390629,0.81284446,0.7349644,0.7171612,0.7361533,0.7552258,0.77133876,0.73737746,0.74516994,0.7742028,0.75590974,0.7681572,0.751902,0.79150295,0.78285635,0.74747646,0.75489366,0.73159575,0.7269385,0.7461797,0.77003825,0.7216083,0.75513124,0.7318693,0.7318859,0.7470358,0.7366168,0.73099273,0.71506006,0.6988913,0.7125374,0.7266052,0.74119776,0.73962116,0.7393717,0.7428985,0.7175456,0.6988734,0.71009123,0.696743,0.7337558,0.7338121,0.68418354,0.70533663,0.72218525,0.69722146,0.6921452,0.69876695,0.79319286,0.7337925
SR,0.8972144,0.910433,1.0000001,0.9295324,0.8843406,0.8868978,0.90183413,0.9450778,0.8581006,0.8456236,0.88935447,0.8338165,0.86370355,0.8751762,0.8748905,0.7671598,0.8328047,0.8729168,0.8334446,0.83473504,0.8946505,0.8973938,0.854052,0.8948468,0.8600404,0.89400905,0.9053415,0.74033856,0.7861819,0.79554474,0.78999937,0.80013824,0.811991,0.8038993,0.7771317,0.8200216,0.81563145,0.8011304,0.77194875,0.7957698,0.8409415,0.8026874,0.7701445,0.76077366,0.75271124,0.7810476,0.772855,0.75238603,0.7856108,0.78175145,0.7603322,0.763758,0.7369692,0.7410208,0.7402459,0.7856988,0.82086164,0.7696373,0.75821674,0.78485024,0.8052472,0.76837933,0.7679371,0.79069996,0.77631146,0.7322148,0.72942185,0.7558346,0.71893746,0.71291214,0.7535314,0.76779515,0.7528908,0.75500405,0.7621366,0.76733637,0.7548951,0.756925,0.7826863,0.73766613,0.73445547,0.77355766,0.7186333,0.7510965,0.7610065,0.72898936,0.732369,0.7706435,0.76420003,0.77258825,0.7789924,0.80623084,0.74270236,0.76357114,0.7429126,0.7300927,0.7568865,0.7309057,0.71575916,0.73436505,0.74323314,0.7683848,0.7346478,0.73533803,0.77675635,0.7393585,0.806801,0.7583644,0.7819431,0.75858206,0.75442934,0.7492026,0.7200567,0.72804475,0.76908267,0.7591566,0.7568784,0.7307128,0.74543846,0.74119395,0.7611067,0.7364947,0.7317181,0.7183812,0.69980216,0.7295726,0.73604095,0.7539763,0.7383255,0.76021767,0.7645564,0.7262284,0.71956813,0.7163137,0.7217838,0.7486194,0.74743503,0.7101685,0.7211868,0.74293095,0.70660067,0.69228446,0.6830058,0.80644226,0.7314484
SN,0.90724564,0.9203774,0.9295324,1.0,0.89310944,0.89886427,0.90726256,0.95937467,0.8670931,0.8387604,0.84793794,0.8686808,0.86607015,0.87633264,0.86607647,0.7682795,0.8572693,0.85938066,0.84817976,0.83905464,0.9110967,0.90604234,0.8362666,0.90081024,0.86761665,0.8905301,0.90003955,0.7265594,0.7423029,0.7776879,0.7598543,0.80405205,0.84751725,0.7887355,0.79084337,0.8007507,0.8007924,0.79350084,0.7667339,0.77381486,0.8551243,0.7910048,0.7612745,0.76802266,0.7370199,0.7950314,0.8073818,0.776415,0.7880833,0.7799834,0.78219557,0.77091944,0.7387328,0.7406887,0.78144956,0.77037,0.7721715,0.7599565,0.74981165,0.8293584,0.7879195,0.75803983,0.7946919,0.74062884,0.7770097,0.726708,0.7193794,0.7615638,0.71902215,0.6998388,0.7546918,0.7514845,0.73541623,0.74901044,0.7603371,0.7537644,0.74959147,0.7395294,0.7849563,0.74367946,0.7166866,0.7494693,0.7609625,0.7899789,0.7355182,0.7254435,0.7179613,0.75203353,0.7469045,0.7470987,0.7726958,0.8162549,0.74578315,0.78392935,0.76962304,0.7319416,0.77581686,0.7191664,0.7223534,0.7545486,0.74113286,0.7690853,0.72694635,0.7327299,0.7721236,0.773913,0.7701069,0.7600131,0.7634429,0.7980876,0.7464994,0.7349677,0.7452212,0.71197784,0.7286886,0.753132,0.744724,0.73502624,0.7242053,0.73327506,0.7327682,0.7284897,0.7032734,0.7256843,0.68273824,0.70195633,0.75275195,0.7585386,0.7404599,0.75421906,0.75300986,0.74477667,0.7055114,0.7171937,0.7102325,0.7357491,0.7629596,0.7014084,0.7154824,0.721738,0.7146899,0.6841466,0.6781504,0.8015337,0.7553545
SE,0.88622475,0.88385725,0.8843406,0.89310944,1.0000002,0.8624555,0.87038386,0.9152857,0.85153425,0.8460305,0.8365087,0.8346952,0.8387567,0.8746357,0.8485863,0.8024245,0.82064664,0.85644865,0.86434454,0.8720272,0.8760109,0.8683623,0.84582627,0.86558235,0.89926374,0.8645094,0.88425076,0.7345513,0.74007577,0.79449695,0.7490712,0.8067385,0.8203038,0.8017037,0.79823846,0.8064463,0.79764116,0.8423798,0.76516473,0.77493614,0.8291215,0.78708607,0.762221,0.7667587,0.75298476,0.77949446,0.7671043,0.73945546,0.77847666,0.78882784,0.7671987,0.7707414,0.7474293,0.7551264,0.746212,0.78432715,0.780918,0.76440185,0.76835847,0.767094,0.79416823,0.762275,0.7643342,0.7469739,0.77216727,0.7102985,0.7343532,0.7516632,0.7226373,0.7242521,0.7554735,0.76037633,0.7607067,0.7232866,0.7567099,0.7696467,0.7592076,0.7438382,0.7724947,0.7646884,0.725297,0.75698483,0.7460103,0.76750094,0.7396413,0.718863,0.7278633,0.7529155,0.74852264,0.754529,0.7728116,0.7886274,0.7429699,0.7486456,0.7389613,0.73756117,0.7543311,0.71381515,0.7157954,0.74106324,0.73769355,0.7568706,0.72103786,0.70535135,0.77018726,0.7550875,0.77700675,0.7989365,0.7710904,0.76980233,0.75239235,0.7440216,0.71247816,0.72624075,0.7617975,0.75851303,0.7378099,0.74791706,0.73647654,0.749549,0.7209699,0.72886467,0.714736,0.73086584,0.69578224,0.701901,0.7120617,0.73987246,0.7387788,0.78702545,0.7620827,0.7433096,0.718311,0.71244025,0.69143414,0.7197277,0.7140367,0.70460385,0.7199807,0.7065586,0.70768535,0.6901542,0.6893586,0.7856605,0.73491335
SS,0.8840622,0.8899385,0.8868978,0.89886427,0.8624555,1.0000001,0.8710877,0.9129438,0.84737015,0.8210578,0.8494404,0.82769406,0.8613651,0.8573894,0.86291885,0.77060956,0.8331308,0.8569342,0.8430942,0.8190439,0.8826641,0.8694884,0.83406913,0.8809452,0.83901024,0.87652415,0.8723668,0.7531336,0.7820884,0.78548217,0.7724627,0.7987937,0.80532837,0.80322313,0.79669005,0.81766796,0.8356763,0.80807775,0.7754934,0.77589345,0.8330599,0.7623632,0.7517357,0.76451206,0.75532246,0.7866652,0.76887536,0.740062,0.7672485,0.7809647,0.76924646,0.76611507,0.75897354,0.7489964,0.7365835,0.76797676,0.7722794,0.750349,0.7515793,0.75089335,0.7652011,0.7496438,0.7662792,0.7446437,0.7570865,0.7166545,0.7214743,0.7619023,0.7364081,0.71893376,0.75403535,0.7501861,0.7563746,0.74669254,0.7679517,0.7532105,0.7517415,0.7556571,0.77055705,0.7386833,0.7140782,0.7333004,0.7216079,0.75378054,0.74981713,0.74196965,0.7507367,0.7684244,0.74648154,0.738148,0.75775874,0.78479624,0.7406168,0.7534794,0.72367364,0.7420175,0.7505342,0.7096434,0.7137531,0.735484,0.737635,0.75873697,0.7246661,0.72353923,0.7534257,0.7435232,0.7665979,0.7385791,0.76712763,0.75279045,0.7643371,0.73179144,0.71503884,0.71614087,0.73811114,0.7691051,0.741513,0.74752915,0.73082465,0.741385,0.7342111,0.7532544,0.74194074,0.7412011,0.68932164,0.69575715,0.7371768,0.7097909,0.7137648,0.74372935,0.7463463,0.7196524,0.727796,0.7341936,0.70683396,0.72965056,0.71056056,0.7096038,0.7228334,0.732882,0.709064,0.6908668,0.71005905,0.7829863,0.73072183
PUN,0.8855093,0.8760328,0.90183413,0.90726256,0.87038386,0.8710877,1.0,0.9172824,0.83979076,0.8237808,0.83508414,0.81828296,0.8561901,0.86689794,0.8619987,0.7708634,0.8479098,0.84893936,0.83720523,0.82662886,0.8856656,0.8684307,0.8228239,0.85983455,0.8246213,0.8616583,0.87276185,0.7159809,0.7402643,0.77726716,0.76977354,0.7777292,0.8141373,0.7910308,0.75826335,0.7855548,0.7848385,0.7960074,0.7801742,0.78636,0.8306234,0.7913248,0.7676055,0.7691524,0.74097604,0.7954656,0.77757066,0.780172,0.7878308,0.7807292,0.7867504,0.7790295,0.757923,0.7686672,0.7773351,0.7592652,0.7599356,0.7505794,0.7642047,0.79315984,0.7765304,0.74333376,0.77722204,0.7356687,0.75188285,0.7203861,0.7196141,0.7535204,0.7131101,0.71712685,0.74720246,0.75074494,0.74875265,0.75835955,0.7559205,0.7502984,0.7625736,0.78381336,0.7778231,0.72856706,0.68720293,0.7442787,0.7275,0.76079524,0.7430905,0.7138214,0.710098,0.75052774,0.7466758,0.7504076,0.77999234,0.8147317,0.7511257,0.795131,0.7693475,0.7494421,0.75680566,0.7566249,0.72166836,0.7567661,0.7581653,0.7716404,0.7362061,0.74281967,0.7744242,0.74943256,0.76367503,0.77465975,0.7578423,0.7588042,0.74035627,0.72632873,0.7269563,0.69131535,0.7565148,0.77488744,0.7370356,0.76032436,0.72776103,0.75188947,0.73384494,0.73338294,0.7168144,0.7094892,0.66837585,0.7271918,0.7375884,0.7492553,0.733443,0.7498676,0.75031793,0.73390055,0.7134411,0.7396345,0.7220742,0.7295728,0.7337764,0.69671416,0.70466495,0.7011945,0.7356173,0.7031767,0.7064804,0.7740911,0.7222988
SP,0.9246806,0.9294573,0.9450778,0.95937467,0.9152857,0.9129438,0.9172824,1.0000002,0.87454665,0.85497653,0.8751536,0.8577701,0.8751081,0.89247715,0.88305163,0.77654785,0.8391944,0.87747836,0.86008203,0.8513353,0.93797773,0.9181455,0.8528415,0.9080536,0.88151026,0.9026617,0.9145708,0.73696786,0.74675226,0.7886845,0.77100384,0.81848764,0.8350104,0.808827,0.8056274,0.8346124,0.8305478,0.81727576,0.7738111,0.7955784,0.88744855,0.79903036,0.76888216,0.7784709,0.75150126,0.80933815,0.79520726,0.7581239,0.7953166,0.8031612,0.78613555,0.77870595,0.7509451,0.7611731,0.7632188,0.7914222,0.79932606,0.76671433,0.7669179,0.78848076,0.80472076,0.77360946,0.788211,0.75435597,0.7862217,0.7311746,0.72955763,0.7620132,0.731458,0.7080533,0.7572781,0.76656866,0.7532587,0.7524642,0.7749215,0.7798289,0.77224666,0.76053387,0.80959404,0.7558751,0.72167575,0.75734925,0.7431341,0.77128696,0.7580569,0.7350181,0.73218346,0.7658663,0.76152754,0.7677233,0.78248394,0.8151432,0.7550489,0.7714564,0.7544161,0.7314049,0.7682251,0.7264925,0.71586204,0.75208545,0.7487709,0.7818166,0.7383704,0.7334524,0.7648694,0.74959475,0.7655281,0.7543489,0.78778386,0.7794691,0.75364494,0.75246525,0.7411978,0.71862775,0.75532216,0.76187027,0.7504557,0.7490383,0.74150735,0.74160904,0.7449652,0.73959523,0.7231587,0.72545767,0.7069694,0.7077378,0.7369833,0.7453285,0.7384168,0.7626035,0.75730395,0.7376261,0.7168949,0.7274466,0.7304989,0.7351006,0.7449908,0.71275127,0.73469895,0.7248248,0.7197951,0.69984215,0.7007409,0.8243959,0.76361614
PJ,0.8551289,0.8506861,0.8581006,0.8670931,0.85153425,0.84737015,0.83979076,0.87454665,1.0,0.850824,0.8874676,0.88172925,0.9067606,0.90048194,0.88643044,0.7921365,0.8683224,0.8649104,0.86177427,0.8793008,0.922807,0.8586363,0.84828496,0.8583518,0.83544403,0.8517338,0.87328565,0.7577342,0.7593913,0.77876884,0.78323793,0.8114363,0.80987704,0.81220037,0.7927816,0.8013094,0.80090153,0.7899031,0.76515704,0.7765717,0.8492228,0.7764283,0.7649684,0.7656068,0.7795905,0.7963534,0.78693914,0.7504853,0.7886181,0.78773427,0.80075705,0.7574624,0.77290815,0.7723467,0.7685813,0.76055974,0.7840055,0.7522963,0.7586208,0.77982664,0.7614242,0.733389,0.76785135,0.7612343,0.77837074,0.7623936,0.76213264,0.7747368,0.75224245,0.7400681,0.78427166,0.7897179,0.7687707,0.77301466,0.78063107,0.776258,0.76566154,0.76525027,0.7891433,0.73344994,0.7298913,0.7354917,0.7226356,0.7185981,0.7816511,0.75917226,0.75641775,0.76407075,0.7637235,0.771646,0.765102,0.79719675,0.7388886,0.76184267,0.7401285,0.76221895,0.77543765,0.744838,0.744146,0.76014984,0.7460182,0.7734479,0.72560257,0.74767137,0.74595404,0.74973774,0.7724607,0.7392204,0.73970544,0.7397423,0.78458095,0.7602979,0.737349,0.73059237,0.78373814,0.80703336,0.730513,0.75838304,0.75789654,0.7531496,0.74330205,0.71722984,0.75231314,0.74804807,0.70723665,0.73518276,0.7726477,0.7334991,0.7135054,0.7779042,0.7724638,0.75694126,0.69889116,0.7235088,0.7216112,0.763733,0.7250211,0.7280205,0.730481,0.7358793,0.69122815,0.6865621,0.7341098,0.7801327,0.7257056
PW,0.818938,0.8756923,0.8456236,0.8387604,0.8460305,0.8210578,0.8237808,0.85497653,0.850824,1.0000002,0.8929297,0.8432607,0.84680796,0.85020447,0.83228123,0.74093807,0.83056647,0.86858,0.83628166,0.8662646,0.88281167,0.8402673,0.810931,0.86037755,0.82042474,0.838761,0.8816531,0.8148468,0.7395824,0.75865483,0.77195406,0.77942693,0.79670453,0.7791498,0.7675601,0.86092556,0.7917181,0.7917851,0.73961407,0.7674103,0.809204,0.7971024,0.79816663,0.7746928,0.7963947,0.79422444,0.81042254,0.7530274,0.7653477,0.8111327,0.76955473,0.74300766,0.753595,0.7506474,0.77883923,0.8218887,0.77641785,0.77617943,0.7569264,0.7757708,0.7619046,0.7930505,0.76474863,0.78261596,0.81169313,0.7428032,0.7347505,0.74094206,0.7511598,0.72462213,0.746405,0.7609841,0.7388265,0.69975823,0.75058746,0.82700974,0.7792833,0.74611205,0.76736236,0.79809356,0.7326317,0.74988604,0.7397723,0.74008554,0.7541569,0.75251704,0.7489641,0.76207995,0.75408024,0.76054984,0.79274476,0.77889377,0.7276422,0.7615622,0.7393554,0.73817235,0.78498125,0.74421436,0.73031086,0.73764664,0.7308917,0.7541948,0.7063462,0.71977156,0.7450849,0.76498973,0.7700553,0.7428042,0.79484445,0.75664425,0.7632942,0.7802261,0.72183484,0.75159895,0.7629159,0.79660344,0.7325511,0.766283,0.7361421,0.73451126,0.7429426,0.72594523,0.72887844,0.7216259,0.6937206,0.7047675,0.7191389,0.7292436,0.73327947,0.77282447,0.7474114,0.74084806,0.71679914,0.7143926,0.6944461,0.74071807,0.7291196,0.694011,0.7496603,0.71351653,0.6666274,0.67651224,0.70649415,0.78524625,0.69679785
