species_code,scientific_name,common_name,functional_group,climate_zone,topographic_position,elevation_niche,moisture_regime,soil_substrate,shade_tolerance,successional_stage,formatted_description
SB,Picea mariana,Black Spruce,Coniferous needleleaf tree,Boreal to subarctic cold climates,"Lowland depressions, valley bottoms, peat bogs",Lowland to mid-elevation flat terrain,Hydric to wet-mesic,"Acidic organic peat, cold poorly drained soils",Tolerant,Climax species in peatlands,"Species: Picea mariana (Black Spruce). Taxonomy & Functional Type: Coniferous needleleaf tree. Climate Niche: Thrives in Boreal to subarctic cold climates. Topography & Elevation: Found in Lowland depressions, valley bottoms, peat bogs; Lowland to mid-elevation flat terrain. Soil & Hydrology: Prefers Hydric to wet-mesic moisture regimes and Acidic organic peat, cold poorly drained soils. Ecological Traits: Tolerant shade tolerance; Climax species in peatlands."
SW,Picea glauca,White Spruce,Coniferous needleleaf tree,Boreal to cool temperate climates,"Well-drained riverbanks, upland slopes, lake margins",Lowland terraces to upland slopes,Mesic,"Rich loams, alluvial silt, well-drained clays",Tolerant,Climax species,"Species: Picea glauca (White Spruce). Taxonomy & Functional Type: Coniferous needleleaf tree. Climate Niche: Thrives in Boreal to cool temperate climates. Topography & Elevation: Found in Well-drained riverbanks, upland slopes, lake margins; Lowland terraces to upland slopes. Soil & Hydrology: Prefers Mesic moisture regimes and Rich loams, alluvial silt, well-drained clays. Ecological Traits: Tolerant shade tolerance; Climax species."
SR,Picea rubens,Red Spruce,Coniferous needleleaf tree,Cool humid temperate climates,Cool moist mountain slopes and plateaus,Mid-to-high elevation uplands,Mesic to wet-mesic,"Acidic, cool, moist organic or sandy loams",Very tolerant,Late-successional climax species,"Species: Picea rubens (Red Spruce). Taxonomy & Functional Type: Coniferous needleleaf tree. Climate Niche: Thrives in Cool humid temperate climates. Topography & Elevation: Found in Cool moist mountain slopes and plateaus; Mid-to-high elevation uplands. Soil & Hydrology: Prefers Mesic to wet-mesic moisture regimes and Acidic, cool, moist organic or sandy loams. Ecological Traits: Very tolerant shade tolerance; Late-successional climax species."
SN,Picea abies,Norway Spruce,Coniferous needleleaf tree,Cool temperate introduced climates,"Upland plantations, moist valleys",Lowland to upland slopes,Mesic,Moist well-drained loams and clay loams,Tolerant,Mid-to-late successional species,"Species: Picea abies (Norway Spruce). Taxonomy & Functional Type: Coniferous needleleaf tree. Climate Niche: Thrives in Cool temperate introduced climates. Topography & Elevation: Found in Upland plantations, moist valleys; Lowland to upland slopes. Soil & Hydrology: Prefers Mesic moisture regimes and Moist well-drained loams and clay loams. Ecological Traits: Tolerant shade tolerance; Mid-to-late successional species."
SE,Picea engelmannii,Engelmann Spruce,Coniferous needleleaf tree,Subalpine and cold montane climates,High elevation mountain slopes and basins,Subalpine high elevation slopes,Mesic to wet-mesic,Cold moist loams and rocky gravels,Tolerant,Subalpine climax species,"Species: Picea engelmannii (Engelmann Spruce). Taxonomy & Functional Type: Coniferous needleleaf tree. Climate Niche: Thrives in Subalpine and cold montane climates. Topography & Elevation: Found in High elevation mountain slopes and basins; Subalpine high elevation slopes. Soil & Hydrology: Prefers Mesic to wet-mesic moisture regimes and Cold moist loams and rocky gravels. Ecological Traits: Tolerant shade tolerance; Subalpine climax species."
SS,Picea sitchensis,Sitka Spruce,Coniferous needleleaf tree,Cool maritime humid climates,"Coastal fog belts, alluvial lowlands",Lowland coastal plains,Wet-mesic to hydric,"Deep, moist, rich alluvial loams",Tolerant,Coastal climax species,"Species: Picea sitchensis (Sitka Spruce). Taxonomy & Functional Type: Coniferous needleleaf tree. Climate Niche: Thrives in Cool maritime humid climates. Topography & Elevation: Found in Coastal fog belts, alluvial lowlands; Lowland coastal plains. Soil & Hydrology: Prefers Wet-mesic to hydric moisture regimes and Deep, moist, rich alluvial loams. Ecological Traits: Tolerant shade tolerance; Coastal climax species."
PUN,Picea pungens,Colorado Blue Spruce,Coniferous needleleaf tree,Cool temperate planted climates,"Urban parks, windbreaks, valley streamsides",Lowland to mid-elevation plains,Mesic to dry-mesic,"Rich, moist, well-drained sandy loams",Intermediate,Early-to-mid successional species,"Species: Picea pungens (Colorado Blue Spruce). Taxonomy & Functional Type: Coniferous needleleaf tree. Climate Niche: Thrives in Cool temperate planted climates. Topography & Elevation: Found in Urban parks, windbreaks, valley streamsides; Lowland to mid-elevation plains. Soil & Hydrology: Prefers Mesic to dry-mesic moisture regimes and Rich, moist, well-drained sandy loams. Ecological Traits: Intermediate shade tolerance; Early-to-mid successional species."
SP,Picea spp.,Spruce (Unspecified),Coniferous needleleaf tree,Boreal to temperate climates,Variable lowland to upland terrain,Adaptable elevations,Mesic to hydric,Moist organic to mineral loams,Tolerant,Mid-to-late successional species,"Species: Picea spp. (Spruce (Unspecified)). Taxonomy & Functional Type: Coniferous needleleaf tree. Climate Niche: Thrives in Boreal to temperate climates. Topography & Elevation: Found in Variable lowland to upland terrain; Adaptable elevations. Soil & Hydrology: Prefers Mesic to hydric moisture regimes and Moist organic to mineral loams. Ecological Traits: Tolerant shade tolerance; Mid-to-late successional species."
PJ,Pinus banksiana,Jack Pine,Coniferous needleleaf tree,Boreal to cool temperate climates,"Dry sandy plains, rocky ridges, glaciated uplands",Upland flats and rocky crests,Xeric to dry-mesic,"Coarse sandy loams, shallow soils over bedrock",Very intolerant,Fire-adapted pioneer species,"Species: Pinus banksiana (Jack Pine). Taxonomy & Functional Type: Coniferous needleleaf tree. Climate Niche: Thrives in Boreal to cool temperate climates. Topography & Elevation: Found in Dry sandy plains, rocky ridges, glaciated uplands; Upland flats and rocky crests. Soil & Hydrology: Prefers Xeric to dry-mesic moisture regimes and Coarse sandy loams, shallow soils over bedrock. Ecological Traits: Very intolerant shade tolerance; Fire-adapted pioneer species."
PW,Pinus strobus,Eastern White Pine,Coniferous needleleaf tree,Great Lakes-St. Lawrence temperate climates,"Rolling upland hills, sandy plains, river valleys",Lowland terraces to high ridges,Dry-mesic to mesic,Well-drained sandy to loamy soils,Intermediate,Mid-to-late successional species,"Species: Pinus strobus (Eastern White Pine). Taxonomy & Functional Type: Coniferous needleleaf tree. Climate Niche: Thrives in Great Lakes-St. Lawrence temperate climates. Topography & Elevation: Found in Rolling upland hills, sandy plains, river valleys; Lowland terraces to high ridges. Soil & Hydrology: Prefers Dry-mesic to mesic moisture regimes and Well-drained sandy to loamy soils. Ecological Traits: Intermediate shade tolerance; Mid-to-late successional species."
PR,Pinus resinosa,Red Pine,Coniferous needleleaf tree,Great Lakes-St. Lawrence temperate climates,"Sandy plains, rocky ridges, dry uplands",Upland plateaus and crests,Xeric to dry-mesic,Coarse dry acidic sands and gravelly loams,Intolerant,Early-to-mid successional species,"Species: Pinus resinosa (Red Pine). Taxonomy & Functional Type: Coniferous needleleaf tree. Climate Niche: Thrives in Great Lakes-St. Lawrence temperate climates. Topography & Elevation: Found in Sandy plains, rocky ridges, dry uplands; Upland plateaus and crests. Soil & Hydrology: Prefers Xeric to dry-mesic moisture regimes and Coarse dry acidic sands and gravelly loams. Ecological Traits: Intolerant shade tolerance; Early-to-mid successional species."
PS,Pinus sylvestris,Scots Pine,Coniferous needleleaf tree,Cool temperate introduced climates,"Dry sandy plains, disturbed fields, plantations",Lowland to upland flats,Xeric to dry-mesic,"Coarse sandy loams, poor acidic soils",Intolerant,Early successional introduced species,"Species: Pinus sylvestris (Scots Pine). Taxonomy & Functional Type: Coniferous needleleaf tree. Climate Niche: Thrives in Cool temperate introduced climates. Topography & Elevation: Found in Dry sandy plains, disturbed fields, plantations; Lowland to upland flats. Soil & Hydrology: Prefers Xeric to dry-mesic moisture regimes and Coarse sandy loams, poor acidic soils. Ecological Traits: Intolerant shade tolerance; Early successional introduced species."
PI,Pinus rigida,Pitch Pine,Coniferous needleleaf tree,Warm temperate to cool temperate pockets,"Dry sandy plains, rocky crests",Upland sandy flats and crests,Xeric,"Sterile coarse acidic sands, gravelly slopes",Intolerant,Fire-dependent pioneer species,"Species: Pinus rigida (Pitch Pine). Taxonomy & Functional Type: Coniferous needleleaf tree. Climate Niche: Thrives in Warm temperate to cool temperate pockets. Topography & Elevation: Found in Dry sandy plains, rocky crests; Upland sandy flats and crests. Soil & Hydrology: Prefers Xeric moisture regimes and Sterile coarse acidic sands, gravelly slopes. Ecological Traits: Intolerant shade tolerance; Fire-dependent pioneer species."
PC,Pinus contorta,Lodgepole Pine,Coniferous needleleaf tree,Montane to boreal transition climates,"Glaciated plains, mountain slopes, sandy plateaus",Mid-to-high elevation plateaus,Xeric to mesic,"Coarse gravelly sands, shallow rocky soils",Very intolerant,Fire-dependent pioneer species,"Species: Pinus contorta (Lodgepole Pine). Taxonomy & Functional Type: Coniferous needleleaf tree. Climate Niche: Thrives in Montane to boreal transition climates. Topography & Elevation: Found in Glaciated plains, mountain slopes, sandy plateaus; Mid-to-high elevation plateaus. Soil & Hydrology: Prefers Xeric to mesic moisture regimes and Coarse gravelly sands, shallow rocky soils. Ecological Traits: Very intolerant shade tolerance; Fire-dependent pioneer species."
PL,Pinus ponderosa,Ponderosa Pine,Coniferous needleleaf tree,Dry warm temperate to continental climates,"Dry mountain slopes, foothills, sandy basins",Foothills and mid-elevation crests,Xeric to dry-mesic,"Coarse dry gravelly loams, basaltic soils",Intolerant,Climax on dry sites,"Species: Pinus ponderosa (Ponderosa Pine). Taxonomy & Functional Type: Coniferous needleleaf tree. Climate Niche: Thrives in Dry warm temperate to continental climates. Topography & Elevation: Found in Dry mountain slopes, foothills, sandy basins; Foothills and mid-elevation crests. Soil & Hydrology: Prefers Xeric to dry-mesic moisture regimes and Coarse dry gravelly loams, basaltic soils. Ecological Traits: Intolerant shade tolerance; Climax on dry sites."
PM,Pinus mugo,Mugo Pine,Coniferous shrub / small tree,Montane alpine introduced climates,"Exposed rocky slopes, ornamental plantings",Subalpine to rocky gardens,Xeric to dry-mesic,"Shallow, rocky, dry gravelly loams",Intolerant,Pioneer on alpine slopes,"Species: Pinus mugo (Mugo Pine). Taxonomy & Functional Type: Coniferous shrub / small tree. Climate Niche: Thrives in Montane alpine introduced climates. Topography & Elevation: Found in Exposed rocky slopes, ornamental plantings; Subalpine to rocky gardens. Soil & Hydrology: Prefers Xeric to dry-mesic moisture regimes and Shallow, rocky, dry gravelly loams. Ecological Traits: Intolerant shade tolerance; Pioneer on alpine slopes."
PZ,Pinus nigra,Austrian Pine,Coniferous needleleaf tree,Warm to cool temperate introduced climates,"Coastal dunes, urban windbreaks, dry slopes",Lowland to upland flats,Xeric to dry-mesic,"Alkaline limestone, dry sterile sands, clay loams",Intolerant,Early successional introduced species,"Species: Pinus nigra (Austrian Pine). Taxonomy & Functional Type: Coniferous needleleaf tree. Climate Niche: Thrives in Warm to cool temperate introduced climates. Topography & Elevation: Found in Coastal dunes, urban windbreaks, dry slopes; Lowland to upland flats. Soil & Hydrology: Prefers Xeric to dry-mesic moisture regimes and Alkaline limestone, dry sterile sands, clay loams. Ecological Traits: Intolerant shade tolerance; Early successional introduced species."
PX,Pinus monticola,Western White Pine,Coniferous needleleaf tree,Cool humid montane climates,"Moist mountain slopes, valley basins",Mid-elevation mountain slopes,Mesic to dry-mesic,"Deep, well-drained, granite loams",Intermediate,Mid-to-late successional species,"Species: Pinus monticola (Western White Pine). Taxonomy & Functional Type: Coniferous needleleaf tree. Climate Niche: Thrives in Cool humid montane climates. Topography & Elevation: Found in Moist mountain slopes, valley basins; Mid-elevation mountain slopes. Soil & Hydrology: Prefers Mesic to dry-mesic moisture regimes and Deep, well-drained, granite loams. Ecological Traits: Intermediate shade tolerance; Mid-to-late successional species."
PF,Pinus flexilis,Limber Pine,Coniferous needleleaf tree,Cold continental montane climates,"Wind-swept alpine ridges, rocky escarpments",High subalpine ridges,Xeric,"Shallow, rocky, limestone soils",Intolerant,Subalpine pioneer species,"Species: Pinus flexilis (Limber Pine). Taxonomy & Functional Type: Coniferous needleleaf tree. Climate Niche: Thrives in Cold continental montane climates. Topography & Elevation: Found in Wind-swept alpine ridges, rocky escarpments; High subalpine ridges. Soil & Hydrology: Prefers Xeric moisture regimes and Shallow, rocky, limestone soils. Ecological Traits: Intolerant shade tolerance; Subalpine pioneer species."
PA,Pinus albicaulis,Whitebark Pine,Coniferous needleleaf tree,Alpine and subarctic cold climates,"Subalpine timberlines, rocky peaks",High alpine timberline,Xeric to dry-mesic,"Coarse rocky scree, shallow granitic soils",Intolerant,Subalpine pioneer climax species,"Species: Pinus albicaulis (Whitebark Pine). Taxonomy & Functional Type: Coniferous needleleaf tree. Climate Niche: Thrives in Alpine and subarctic cold climates. Topography & Elevation: Found in Subalpine timberlines, rocky peaks; High alpine timberline. Soil & Hydrology: Prefers Xeric to dry-mesic moisture regimes and Coarse rocky scree, shallow granitic soils. Ecological Traits: Intolerant shade tolerance; Subalpine pioneer climax species."
PN,Pinus spp.,Pine (Unspecified),Coniferous needleleaf tree,Boreal to temperate climates,"Dry plains, ridges, plantations",Lowland to upland crests,Xeric to mesic,"Sandy loams, coarse gravels",Intolerant,Early-to-mid successional species,"Species: Pinus spp. (Pine (Unspecified)). Taxonomy & Functional Type: Coniferous needleleaf tree. Climate Niche: Thrives in Boreal to temperate climates. Topography & Elevation: Found in Dry plains, ridges, plantations; Lowland to upland crests. Soil & Hydrology: Prefers Xeric to mesic moisture regimes and Sandy loams, coarse gravels. Ecological Traits: Intolerant shade tolerance; Early-to-mid successional species."
